,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Siruta,Judet,Populatie
129,Godeni,1030057.0,0.0,506705.0,0.0,0.0,1515044.0,0.0,0.0,0.0,16551,ag,3004
130,Oras Sovata,6642867.0,927581.0,38371504.0,0.0,0.0,0.0,0.0,64221181.0,0.0,114854,ms,10557
131,Gura Foii,0.0,0.0,1121349.0,0.0,0.0,312580.0,0.0,0.0,0.0,65707,db,2220
132,Rast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73905,dj,3565
133,Oras Cajvana,0.0,0.0,13561025.0,0.0,0.0,0.0,0.0,0.0,0.0,147633,sv,9471
134,Municipiul Campina,92129538.0,33680015.0,11132899.0,534651.0,12461154.0,1357474626.0,12188972.0,103088885.0,28773867.0,131256,ph,37574
135,Ciceu-Giurgesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32955,bn,1571
136,Oras Baia Sprie,112465040.0,2929664.0,6208102.0,0.0,180380.0,0.0,0.0,414614.0,3941544.0,106684,mm,17091
137,Racaciuni,1736905.0,0.0,15391.0,0.0,292141.0,266165.0,0.0,0.0,0.0,24766,bc,8379
138,Robanesti,2215527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73923,dj,2294
139,Bethausen,0.0,13179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155840,tm,2803
140,Popricani,672351.0,29306.0,0.0,0.0,1800761.0,0.0,0.0,0.0,0.0,98505,is,8287
141,Poiana Campina,0.0,0.0,48474.0,0.0,630059.0,3552738.0,0.0,0.0,0.0,131274,ph,5099
142,Dabaca,29525.0,0.0,63155.0,0.0,0.0,0.0,0.0,0.0,0.0,57546,cj,1445
143,Ilisesti,610725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147660,sv,2907
144,Hoghiz,403451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41177,bv,5225
145,Petresti,0.0,9588.0,0.0,0.0,0.0,0.0,0.0,1360263.0,0.0,65752,db,5623
146,Petresti,0.0,9588.0,0.0,0.0,0.0,0.0,0.0,1360263.0,0.0,138501,sm,1926
147,Petresti,0.0,169635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65752,db,5623
148,Petresti,0.0,169635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138501,sm,1926
149,Stanesti,445983.0,0.0,0.0,4450.0,0.0,0.0,0.0,0.0,0.0,82136,gj,2231
150,Stanesti,445983.0,0.0,0.0,4450.0,0.0,0.0,0.0,0.0,0.0,105295,gr,2638
151,Stanesti,445983.0,0.0,0.0,4450.0,0.0,0.0,0.0,0.0,0.0,173132,vl,1204
152,Stanesti,0.0,0.0,0.0,164202.0,0.0,0.0,0.0,0.0,0.0,82136,gj,2231
153,Stanesti,0.0,0.0,0.0,164202.0,0.0,0.0,0.0,0.0,0.0,105295,gr,2638
154,Stanesti,0.0,0.0,0.0,164202.0,0.0,0.0,0.0,0.0,0.0,173132,vl,1204
